xi,rho_exact
-0.35,1
-0.34825,1
-0.3465,1
-0.34475,1
-0.343,1
-0.34125,1
-0.3395,1
-0.33775,1
-0.336,1
-0.33425,1
-0.3325,1
-0.33075,1
-0.329,1
-0.32725,1
-0.3255,1
-0.32375,1
-0.322,1
-0.32025,1
-0.3185,1
-0.31675,1
-0.315,1
-0.31325,1
-0.3115,1
-0.30975,1
-0.308,1
-0.30625,1
-0.3045,1
-0.30275,1
-0.301,1
-0.29925,1
-0.2975,1
-0.29575,1
-0.294,1
-0.29225,1
-0.2905,1
-0.28875,1
-0.287,1
-0.28525,1
-0.2835,1
-0.28175,1
-0.28,1
-0.27825,1
-0.2765,1
-0.27475,1
-0.273,1
-0.27125,1
-0.2695,1
-0.26775,1
-0.266,1
-0.26425,1
-0.2625,1
-0.26075,1
-0.259,1
-0.25725,1
-0.2555,1
-0.25375,1
-0.252,1
-0.25025,1
-0.2485,1
-0.24675,1
-0.245,1
-0.24325,1
-0.2415,1
-0.23975,1
-0.238,1
-0.23625,1
-0.2345,1
-0.23275,1
-0.231,1
-0.22925,1
-0.2275,1
-0.22575,1
-0.224,1
-0.22225,1
-0.2205,1
-0.21875,1
-0.217,1
-0.21525,1
-0.2135,1
-0.21175,1
-0.21,1
-0.20825,1
-0.2065,1
-0.20475,1
-0.203,1
-0.20125,1
-0.1995,1
-0.19775,1
-0.196,1
-0.19425,1
-0.1925,1
-0.19075,1
-0.189,1
-0.18725,1
-0.1855,1
-0.18375,1
-0.182,1
-0.18025,1
-0.1785,1
-0.17675,0.996566
-0.175,0.988399
-0.17325,0.980285
-0.1715,0.972225
-0.16975,0.964218
-0.168,0.956263
-0.16625,0.948361
-0.1645,0.940512
-0.16275,0.932715
-0.161,0.924969
-0.15925,0.917275
-0.1575,0.909632
-0.15575,0.902041
-0.154,0.8945
-0.15225,0.887009
-0.1505,0.879569
-0.14875,0.872179
-0.147,0.864839
-0.14525,0.857548
-0.1435,0.850306
-0.14175,0.843113
-0.14,0.83597
-0.13825,0.828874
-0.1365,0.821827
-0.13475,0.814828
-0.133,0.807877
-0.13125,0.800973
-0.1295,0.794116
-0.12775,0.787307
-0.126,0.780544
-0.12425,0.773828
-0.1225,0.767158
-0.12075,0.760534
-0.119,0.753957
-0.11725,0.747424
-0.1155,0.740937
-0.11375,0.734495
-0.112,0.728098
-0.11025,0.721746
-0.1085,0.715438
-0.10675,0.709174
-0.105,0.702955
-0.10325,0.696779
-0.1015,0.690646
-0.09975,0.684557
-0.098,0.67851
-0.09625,0.672507
-0.0945,0.666546
-0.09275,0.660627
-0.091,0.654751
-0.08925,0.648916
-0.0875,0.643123
-0.08575,0.637372
-0.084,0.631662
-0.08225,0.625993
-0.0805,0.620364
-0.07875,0.614776
-0.077,0.609229
-0.07525,0.603721
-0.0735,0.598254
-0.07175,0.592826
-0.07,0.587437
-0.06825,0.582088
-0.0665,0.576778
-0.06475,0.571507
-0.063,0.566274
-0.06125,0.56108
-0.0595,0.555924
-0.05775,0.550806
-0.056,0.545726
-0.05425,0.540683
-0.0525,0.535677
-0.05075,0.530709
-0.049,0.525778
-0.04725,0.520883
-0.0455,0.516025
-0.04375,0.511203
-0.042,0.506417
-0.04025,0.501668
-0.0385,0.496954
-0.03675,0.492275
-0.035,0.487632
-0.03325,0.483024
-0.0315,0.47845
-0.02975,0.473912
-0.028,0.469408
-0.02625,0.464938
-0.0245,0.460502
-0.02275,0.456101
-0.021,0.451733
-0.01925,0.447398
-0.0175,0.443097
-0.01575,0.438829
-0.014,0.434594
-0.01225,0.430392
-0.0105,0.426319
-0.00875,0.426319
-0.007,0.426319
-0.00525,0.426319
-0.0035,0.426319
-0.00175,0.426319
0,0.426319
0.00175,0.426319
0.0035,0.426319
0.00525,0.426319
0.007,0.426319
0.00875,0.426319
0.0105,0.426319
0.01225,0.426319
0.014,0.426319
0.01575,0.426319
0.0175,0.426319
0.01925,0.426319
0.021,0.426319
0.02275,0.426319
0.0245,0.426319
0.02625,0.426319
0.028,0.426319
0.02975,0.426319
0.0315,0.426319
0.03325,0.426319
0.035,0.426319
0.03675,0.426319
0.0385,0.426319
0.04025,0.426319
0.042,0.426319
0.04375,0.426319
0.0455,0.426319
0.04725,0.426319
0.049,0.426319
0.05075,0.426319
0.0525,0.426319
0.05425,0.426319
0.056,0.426319
0.05775,0.426319
0.0595,0.426319
0.06125,0.426319
0.063,0.426319
0.06475,0.426319
0.0665,0.426319
0.06825,0.426319
0.07,0.426319
0.07175,0.426319
0.0735,0.426319
0.07525,0.426319
0.077,0.426319
0.07875,0.426319
0.0805,0.426319
0.08225,0.426319
0.084,0.426319
0.08575,0.426319
0.0875,0.426319
0.08925,0.426319
0.091,0.426319
0.09275,0.426319
0.0945,0.426319
0.09625,0.426319
0.098,0.426319
0.09975,0.426319
0.1015,0.426319
0.10325,0.426319
0.105,0.426319
0.10675,0.426319
0.1085,0.426319
0.11025,0.426319
0.112,0.426319
0.11375,0.426319
0.1155,0.426319
0.11725,0.426319
0.119,0.426319
0.12075,0.426319
0.1225,0.426319
0.12425,0.426319
0.126,0.426319
0.12775,0.426319
0.1295,0.426319
0.13125,0.426319
0.133,0.426319
0.13475,0.426319
0.1365,0.426319
0.13825,0.426319
0.14,0.265574
0.14175,0.265574
0.1435,0.265574
0.14525,0.265574
0.147,0.265574
0.14875,0.265574
0.1505,0.265574
0.15225,0.265574
0.154,0.265574
0.15575,0.265574
0.1575,0.265574
0.15925,0.265574
0.161,0.265574
0.16275,0.265574
0.1645,0.265574
0.16625,0.265574
0.168,0.265574
0.16975,0.265574
0.1715,0.265574
0.17325,0.265574
0.175,0.265574
0.17675,0.265574
0.1785,0.265574
0.18025,0.265574
0.182,0.265574
0.18375,0.265574
0.1855,0.265574
0.18725,0.265574
0.189,0.265574
0.19075,0.265574
0.1925,0.265574
0.19425,0.265574
0.196,0.265574
0.19775,0.265574
0.1995,0.265574
0.20125,0.265574
0.203,0.265574
0.20475,0.265574
0.2065,0.265574
0.20825,0.265574
0.21,0.265574
0.21175,0.265574
0.2135,0.265574
0.21525,0.265574
0.217,0.265574
0.21875,0.265574
0.2205,0.265574
0.22225,0.265574
0.224,0.265574
0.22575,0.265574
0.2275,0.265574
0.22925,0.265574
0.231,0.265574
0.23275,0.265574
0.2345,0.265574
0.23625,0.265574
0.238,0.265574
0.23975,0.265574
0.2415,0.265574
0.24325,0.265574
0.245,0.265574
0.24675,0.265574
0.2485,0.265574
0.25025,0.265574
0.252,0.265574
0.25375,0.265574
0.2555,0.265574
0.25725,0.265574
0.259,0.265574
0.26075,0.265574
0.2625,0.265574
0.26425,0.125
0.266,0.125
0.26775,0.125
0.2695,0.125
0.27125,0.125
0.273,0.125
0.27475,0.125
0.2765,0.125
0.27825,0.125
0.28,0.125
0.28175,0.125
0.2835,0.125
0.28525,0.125
0.287,0.125
0.28875,0.125
0.2905,0.125
0.29225,0.125
0.294,0.125
0.29575,0.125
0.2975,0.125
0.29925,0.125
0.301,0.125
0.30275,0.125
0.3045,0.125
0.30625,0.125
0.308,0.125
0.30975,0.125
0.3115,0.125
0.31325,0.125
0.315,0.125
0.31675,0.125
0.3185,0.125
0.32025,0.125
0.322,0.125
0.32375,0.125
0.3255,0.125
0.32725,0.125
0.329,0.125
0.33075,0.125
0.3325,0.125
0.33425,0.125
0.336,0.125
0.33775,0.125
0.3395,0.125
0.34125,0.125
0.343,0.125
0.34475,0.125
0.3465,0.125
0.34825,0.125
0.35,0.125
