x,rho,rho_exact,level
0.00390625,1,1,0
0.0117188,1,1,0
0.0195312,1,1,0
0.0273438,1,1,0
0.0351562,1,1,0
0.0429688,1,1,0
0.0507812,1,1,0
0.0585938,1,1,0
0.0664062,1,1,0
0.0742188,1,1,0
0.0820312,1,1,0
0.0898438,1,1,0
0.0976562,1,1,0
0.105469,1,1,0
0.113281,1,1,0
0.121094,1,1,0
0.128906,1,1,0
0.136719,1,1,0
0.144531,1,1,0
0.152344,1,1,0
0.160156,1,1,0
0.167969,1,1,0
0.175781,1,1,0
0.183594,1,1,0
0.566406,0.426208,0.426319,0
0.574219,0.426189,0.426319,0
0.582031,0.426196,0.426319,0
0.589844,0.426321,0.426319,0
0.597656,0.426333,0.426319,0
0.605469,0.426186,0.426319,0
0.613281,0.426225,0.426319,0
0.621094,0.426279,0.426319,0
0.753906,0.265665,0.265574,0
0.761719,0.265745,0.265574,0
0.769531,0.265731,0.265574,0
0.777344,0.265661,0.265574,0
0.785156,0.265607,0.265574,0
0.792969,0.265578,0.265574,0
0.800781,0.265541,0.265574,0
0.808594,0.265499,0.265574,0
0.941406,0.125,0.125,0
0.949219,0.125,0.125,0
0.957031,0.125,0.125,0
0.964844,0.125,0.125,0
0.972656,0.125,0.125,0
0.980469,0.125,0.125,0
0.988281,0.125,0.125,0
0.996094,0.125,0.125,0
0.189453,1,1,1
0.193359,1,1,1
0.197266,1,1,1
0.201172,1,1,1
0.205078,1,1,1
0.208984,1,1,1
0.212891,1,1,1
0.216797,1,1,1
0.220703,1,1,1
0.224609,1,1,1
0.228516,1,1,1
0.232422,1,1,1
0.236328,1,1,1
0.240234,1,1,1
0.244141,0.999997,1,1
0.248047,0.999992,1,1
0.251953,0.999839,1,1
0.255859,0.997913,1,1
0.259766,0.991761,1,1
0.263672,0.982883,0.998891,1
0.267578,0.97248,0.985223,1
0.271484,0.961259,0.971705,1
0.275391,0.949618,0.958335,1
0.279297,0.937768,0.945114,1
0.283203,0.925828,0.932038,1
0.287109,0.913863,0.919108,1
0.291016,0.901913,0.906322,1
0.294922,0.890006,0.893678,1
0.298828,0.878158,0.881176,1
0.302734,0.866383,0.868814,1
0.306641,0.85469,0.856591,1
0.310547,0.843086,0.844506,1
0.314453,0.831577,0.832558,1
0.318359,0.820167,0.820746,1
0.322266,0.808859,0.809068,1
0.326172,0.797656,0.797523,1
0.330078,0.786559,0.786111,1
0.333984,0.77557,0.77483,1
0.337891,0.764691,0.763678,1
0.341797,0.753922,0.752655,1
0.345703,0.743263,0.74176,1
0.349609,0.732717,0.730992,1
0.353516,0.722281,0.720348,1
0.357422,0.711958,0.70983,1
0.361328,0.701746,0.699434,1
0.365234,0.691646,0.689161,1
0.369141,0.681657,0.679008,1
0.373047,0.67178,0.668976,1
0.376953,0.662013,0.659062,1
0.380859,0.652357,0.649267,1
0.384766,0.642811,0.639588,1
0.388672,0.633373,0.630025,1
0.392578,0.624043,0.620577,1
0.396484,0.614819,0.611242,1
0.400391,0.605701,0.602021,1
0.404297,0.596688,0.59291,1
0.408203,0.587778,0.583911,1
0.412109,0.578969,0.575021,1
0.416016,0.570261,0.566239,1
0.419922,0.561651,0.557566,1
0.423828,0.553139,0.548998,1
0.427734,0.544722,0.540537,1
0.431641,0.536401,0.53218,1
0.435547,0.528173,0.523927,1
0.439453,0.520039,0.515777,1
0.443359,0.511999,0.507728,1
0.447266,0.504054,0.49978,1
0.451172,0.496204,0.491932,1
0.455078,0.488452,0.484183,1
0.458984,0.480803,0.476531,1
0.462891,0.473259,0.468977,1
0.466797,0.465831,0.461519,1
0.470703,0.458536,0.454156,1
0.474609,0.451414,0.446888,1
0.478516,0.444554,0.439713,1
0.482422,0.438159,0.43263,1
0.486328,0.43265,0.426319,1
0.490234,0.428695,0.426319,1
0.494141,0.426828,0.426319,1
0.498047,0.426448,0.426319,1
0.501953,0.426342,0.426319,1
0.505859,0.426204,0.426319,1
0.509766,0.426033,0.426319,1
0.513672,0.426041,0.426319,1
0.517578,0.426072,0.426319,1
0.521484,0.425979,0.426319,1
0.525391,0.42598,0.426319,1
0.529297,0.425979,0.426319,1
0.533203,0.426045,0.426319,1
0.537109,0.426121,0.426319,1
0.541016,0.42611,0.426319,1
0.544922,0.426083,0.426319,1
0.548828,0.426069,0.426319,1
0.552734,0.426094,0.426319,1
0.556641,0.426165,0.426319,1
0.560547,0.426233,0.426319,1
0.626953,0.42614,0.426319,1
0.630859,0.426074,0.426319,1
0.634766,0.4261,0.426319,1
0.638672,0.426165,0.426319,1
0.642578,0.426197,0.426319,1
0.646484,0.42619,0.426319,1
0.650391,0.426211,0.426319,1
0.654297,0.426323,0.426319,1
0.658203,0.426405,0.426319,1
0.662109,0.426414,0.426319,1
0.666016,0.425987,0.426319,1
0.669922,0.423632,0.426319,1
0.673828,0.415336,0.426319,1
0.677734,0.398468,0.426319,1
0.681641,0.372859,0.426319,1
0.685547,0.340664,0.265574,1
0.689453,0.306598,0.265574,1
0.693359,0.277735,0.265574,1
0.697266,0.263414,0.265574,1
0.701172,0.262122,0.265574,1
0.705078,0.26209,0.265574,1
0.708984,0.262221,0.265574,1
0.712891,0.262894,0.265574,1
0.716797,0.26398,0.265574,1
0.720703,0.265025,0.265574,1
0.724609,0.265612,0.265574,1
0.728516,0.265699,0.265574,1
0.732422,0.265697,0.265574,1
0.736328,0.265667,0.265574,1
0.740234,0.265626,0.265574,1
0.744141,0.265598,0.265574,1
0.748047,0.265604,0.265574,1
0.814453,0.265534,0.265574,1
0.818359,0.265583,0.265574,1
0.822266,0.265643,0.265574,1
0.826172,0.265708,0.265574,1
0.830078,0.265699,0.265574,1
0.833984,0.265665,0.265574,1
0.837891,0.265603,0.265574,1
0.841797,0.26538,0.265574,1
0.845703,0.262009,0.265574,1
0.849609,0.225094,0.265574,1
0.853516,0.146128,0.125,1
0.857422,0.125411,0.125,1
0.861328,0.125005,0.125,1
0.865234,0.125,0.125,1
0.869141,0.125,0.125,1
0.873047,0.125,0.125,1
0.876953,0.125,0.125,1
0.880859,0.125,0.125,1
0.884766,0.125,0.125,1
0.888672,0.125,0.125,1
0.892578,0.125,0.125,1
0.896484,0.125,0.125,1
0.900391,0.125,0.125,1
0.904297,0.125,0.125,1
0.908203,0.125,0.125,1
0.912109,0.125,0.125,1
0.916016,0.125,0.125,1
0.919922,0.125,0.125,1
0.923828,0.125,0.125,1
0.927734,0.125,0.125,1
0.931641,0.125,0.125,1
0.935547,0.125,0.125,1
0.189453,1,1,1
0.193359,1,1,1
0.197266,1,1,1
0.201172,1,1,1
0.205078,1,1,1
0.208984,1,1,1
0.212891,1,1,1
0.216797,1,1,1
0.220703,1,1,1
0.224609,1,1,1
0.228516,1,1,1
0.232422,1,1,1
0.236328,1,1,1
0.240234,1,1,1
0.244141,0.999997,1,1
0.248047,0.999992,1,1
0.251953,0.999839,1,1
0.255859,0.997913,1,1
0.259766,0.991761,1,1
0.263672,0.982883,0.998891,1
0.267578,0.97248,0.985223,1
0.271484,0.961259,0.971705,1
0.275391,0.949618,0.958335,1
0.279297,0.937768,0.945114,1
0.283203,0.925828,0.932038,1
0.287109,0.913863,0.919108,1
0.291016,0.901913,0.906322,1
0.294922,0.890006,0.893678,1
0.298828,0.878158,0.881176,1
0.302734,0.866383,0.868814,1
0.306641,0.85469,0.856591,1
0.310547,0.843086,0.844506,1
0.314453,0.831577,0.832558,1
0.318359,0.820167,0.820746,1
0.322266,0.808859,0.809068,1
0.326172,0.797656,0.797523,1
0.330078,0.786559,0.786111,1
0.333984,0.77557,0.77483,1
0.337891,0.764691,0.763678,1
0.341797,0.753922,0.752655,1
0.345703,0.743263,0.74176,1
0.349609,0.732717,0.730992,1
0.353516,0.722281,0.720348,1
0.357422,0.711958,0.70983,1
0.361328,0.701746,0.699434,1
0.365234,0.691646,0.689161,1
0.369141,0.681657,0.679008,1
0.373047,0.67178,0.668976,1
0.376953,0.662013,0.659062,1
0.380859,0.652357,0.649267,1
0.384766,0.642811,0.639588,1
0.388672,0.633373,0.630025,1
0.392578,0.624043,0.620577,1
0.396484,0.614819,0.611242,1
0.400391,0.605701,0.602021,1
0.404297,0.596688,0.59291,1
0.408203,0.587778,0.583911,1
0.412109,0.578969,0.575021,1
0.416016,0.570261,0.566239,1
0.419922,0.561651,0.557566,1
0.423828,0.553139,0.548998,1
0.427734,0.544722,0.540537,1
0.431641,0.536401,0.53218,1
0.435547,0.528173,0.523927,1
0.439453,0.520039,0.515777,1
0.443359,0.511999,0.507728,1
0.447266,0.504054,0.49978,1
0.451172,0.496204,0.491932,1
0.455078,0.488452,0.484183,1
0.458984,0.480803,0.476531,1
0.462891,0.473259,0.468977,1
0.466797,0.465831,0.461519,1
0.470703,0.458536,0.454156,1
0.474609,0.451414,0.446888,1
0.478516,0.444554,0.439713,1
0.482422,0.438159,0.43263,1
0.486328,0.43265,0.426319,1
0.490234,0.428695,0.426319,1
0.494141,0.426828,0.426319,1
0.498047,0.426448,0.426319,1
0.501953,0.426342,0.426319,1
0.505859,0.426204,0.426319,1
0.509766,0.426033,0.426319,1
0.513672,0.426041,0.426319,1
0.517578,0.426072,0.426319,1
0.521484,0.425979,0.426319,1
0.525391,0.42598,0.426319,1
0.529297,0.425979,0.426319,1
0.533203,0.426045,0.426319,1
0.537109,0.426121,0.426319,1
0.541016,0.42611,0.426319,1
0.544922,0.426083,0.426319,1
0.548828,0.426069,0.426319,1
0.552734,0.426094,0.426319,1
0.556641,0.426165,0.426319,1
0.560547,0.426233,0.426319,1
0.626953,0.42614,0.426319,1
0.630859,0.426074,0.426319,1
0.634766,0.4261,0.426319,1
0.638672,0.426165,0.426319,1
0.642578,0.426197,0.426319,1
0.646484,0.42619,0.426319,1
0.650391,0.426211,0.426319,1
0.654297,0.426323,0.426319,1
0.658203,0.426405,0.426319,1
0.662109,0.426414,0.426319,1
0.666016,0.425987,0.426319,1
0.669922,0.423632,0.426319,1
0.673828,0.415336,0.426319,1
0.677734,0.398468,0.426319,1
0.681641,0.372859,0.426319,1
0.685547,0.340664,0.265574,1
0.689453,0.306598,0.265574,1
0.693359,0.277735,0.265574,1
0.697266,0.263414,0.265574,1
0.701172,0.262122,0.265574,1
0.705078,0.26209,0.265574,1
0.708984,0.262221,0.265574,1
0.712891,0.262894,0.265574,1
0.716797,0.26398,0.265574,1
0.720703,0.265025,0.265574,1
0.724609,0.265612,0.265574,1
0.728516,0.265699,0.265574,1
0.732422,0.265697,0.265574,1
0.736328,0.265667,0.265574,1
0.740234,0.265626,0.265574,1
0.744141,0.265598,0.265574,1
0.748047,0.265604,0.265574,1
0.814453,0.265534,0.265574,1
0.818359,0.265583,0.265574,1
0.822266,0.265643,0.265574,1
0.826172,0.265708,0.265574,1
0.830078,0.265699,0.265574,1
0.833984,0.265665,0.265574,1
0.837891,0.265603,0.265574,1
0.841797,0.26538,0.265574,1
0.845703,0.262009,0.265574,1
0.849609,0.225094,0.265574,1
0.853516,0.146128,0.125,1
0.857422,0.125411,0.125,1
0.861328,0.125005,0.125,1
0.865234,0.125,0.125,1
0.869141,0.125,0.125,1
0.873047,0.125,0.125,1
0.876953,0.125,0.125,1
0.880859,0.125,0.125,1
0.884766,0.125,0.125,1
0.888672,0.125,0.125,1
0.892578,0.125,0.125,1
0.896484,0.125,0.125,1
0.900391,0.125,0.125,1
0.904297,0.125,0.125,1
0.908203,0.125,0.125,1
0.912109,0.125,0.125,1
0.916016,0.125,0.125,1
0.919922,0.125,0.125,1
0.923828,0.125,0.125,1
0.927734,0.125,0.125,1
0.931641,0.125,0.125,1
0.935547,0.125,0.125,1
0.189453,1,1,1
0.193359,1,1,1
0.197266,1,1,1
0.201172,1,1,1
0.205078,1,1,1
0.208984,1,1,1
0.212891,1,1,1
0.216797,1,1,1
0.220703,1,1,1
0.224609,1,1,1
0.228516,1,1,1
0.232422,1,1,1
0.236328,1,1,1
0.240234,1,1,1
0.244141,0.999997,1,1
0.248047,0.999992,1,1
0.251953,0.999839,1,1
0.255859,0.997913,1,1
0.259766,0.991761,1,1
0.263672,0.982883,0.998891,1
0.267578,0.97248,0.985223,1
0.271484,0.961259,0.971705,1
0.275391,0.949618,0.958335,1
0.279297,0.937768,0.945114,1
0.283203,0.925828,0.932038,1
0.287109,0.913863,0.919108,1
0.291016,0.901913,0.906322,1
0.294922,0.890006,0.893678,1
0.298828,0.878158,0.881176,1
0.302734,0.866383,0.868814,1
0.306641,0.85469,0.856591,1
0.310547,0.843086,0.844506,1
0.314453,0.831577,0.832558,1
0.318359,0.820167,0.820746,1
0.322266,0.808859,0.809068,1
0.326172,0.797656,0.797523,1
0.330078,0.786559,0.786111,1
0.333984,0.77557,0.77483,1
0.337891,0.764691,0.763678,1
0.341797,0.753922,0.752655,1
0.345703,0.743263,0.74176,1
0.349609,0.732717,0.730992,1
0.353516,0.722281,0.720348,1
0.357422,0.711958,0.70983,1
0.361328,0.701746,0.699434,1
0.365234,0.691646,0.689161,1
0.369141,0.681657,0.679008,1
0.373047,0.67178,0.668976,1
0.376953,0.662013,0.659062,1
0.380859,0.652357,0.649267,1
0.384766,0.642811,0.639588,1
0.388672,0.633373,0.630025,1
0.392578,0.624043,0.620577,1
0.396484,0.614819,0.611242,1
0.400391,0.605701,0.602021,1
0.404297,0.596688,0.59291,1
0.408203,0.587778,0.583911,1
0.412109,0.578969,0.575021,1
0.416016,0.570261,0.566239,1
0.419922,0.561651,0.557566,1
0.423828,0.553139,0.548998,1
0.427734,0.544722,0.540537,1
0.431641,0.536401,0.53218,1
0.435547,0.528173,0.523927,1
0.439453,0.520039,0.515777,1
0.443359,0.511999,0.507728,1
0.447266,0.504054,0.49978,1
0.451172,0.496204,0.491932,1
0.455078,0.488452,0.484183,1
0.458984,0.480803,0.476531,1
0.462891,0.473259,0.468977,1
0.466797,0.465831,0.461519,1
0.470703,0.458536,0.454156,1
0.474609,0.451414,0.446888,1
0.478516,0.444554,0.439713,1
0.482422,0.438159,0.43263,1
0.486328,0.43265,0.426319,1
0.490234,0.428695,0.426319,1
0.494141,0.426828,0.426319,1
0.498047,0.426448,0.426319,1
0.501953,0.426342,0.426319,1
0.505859,0.426204,0.426319,1
0.509766,0.426033,0.426319,1
0.513672,0.426041,0.426319,1
0.517578,0.426072,0.426319,1
0.521484,0.425979,0.426319,1
0.525391,0.42598,0.426319,1
0.529297,0.425979,0.426319,1
0.533203,0.426045,0.426319,1
0.537109,0.426121,0.426319,1
0.541016,0.42611,0.426319,1
0.544922,0.426083,0.426319,1
0.548828,0.426069,0.426319,1
0.552734,0.426094,0.426319,1
0.556641,0.426165,0.426319,1
0.560547,0.426233,0.426319,1
0.626953,0.42614,0.426319,1
0.630859,0.426074,0.426319,1
0.634766,0.4261,0.426319,1
0.638672,0.426165,0.426319,1
0.642578,0.426197,0.426319,1
0.646484,0.42619,0.426319,1
0.650391,0.426211,0.426319,1
0.654297,0.426323,0.426319,1
0.658203,0.426405,0.426319,1
0.662109,0.426414,0.426319,1
0.666016,0.425987,0.426319,1
0.669922,0.423632,0.426319,1
0.673828,0.415336,0.426319,1
0.677734,0.398468,0.426319,1
0.681641,0.372859,0.426319,1
0.685547,0.340664,0.265574,1
0.689453,0.306598,0.265574,1
0.693359,0.277735,0.265574,1
0.697266,0.263414,0.265574,1
0.701172,0.262122,0.265574,1
0.705078,0.26209,0.265574,1
0.708984,0.262221,0.265574,1
0.712891,0.262894,0.265574,1
0.716797,0.26398,0.265574,1
0.720703,0.265025,0.265574,1
0.724609,0.265612,0.265574,1
0.728516,0.265699,0.265574,1
0.732422,0.265697,0.265574,1
0.736328,0.265667,0.265574,1
0.740234,0.265626,0.265574,1
0.744141,0.265598,0.265574,1
0.748047,0.265604,0.265574,1
0.814453,0.265534,0.265574,1
0.818359,0.265583,0.265574,1
0.822266,0.265643,0.265574,1
0.826172,0.265708,0.265574,1
0.830078,0.265699,0.265574,1
0.833984,0.265665,0.265574,1
0.837891,0.265603,0.265574,1
0.841797,0.26538,0.265574,1
0.845703,0.262009,0.265574,1
0.849609,0.225094,0.265574,1
0.853516,0.146128,0.125,1
0.857422,0.125411,0.125,1
0.861328,0.125005,0.125,1
0.865234,0.125,0.125,1
0.869141,0.125,0.125,1
0.873047,0.125,0.125,1
0.876953,0.125,0.125,1
0.880859,0.125,0.125,1
0.884766,0.125,0.125,1
0.888672,0.125,0.125,1
0.892578,0.125,0.125,1
0.896484,0.125,0.125,1
0.900391,0.125,0.125,1
0.904297,0.125,0.125,1
0.908203,0.125,0.125,1
0.912109,0.125,0.125,1
0.916016,0.125,0.125,1
0.919922,0.125,0.125,1
0.923828,0.125,0.125,1
0.927734,0.125,0.125,1
0.931641,0.125,0.125,1
0.935547,0.125,0.125,1
0.189453,1,1,1
0.193359,1,1,1
0.197266,1,1,1
0.201172,1,1,1
0.205078,1,1,1
0.208984,1,1,1
0.212891,1,1,1
0.216797,1,1,1
0.220703,1,1,1
0.224609,1,1,1
0.228516,1,1,1
0.232422,1,1,1
0.236328,1,1,1
0.240234,1,1,1
0.244141,0.999997,1,1
0.248047,0.999992,1,1
0.251953,0.999839,1,1
0.255859,0.997913,1,1
0.259766,0.991761,1,1
0.263672,0.982883,0.998891,1
0.267578,0.97248,0.985223,1
0.271484,0.961259,0.971705,1
0.275391,0.949618,0.958335,1
0.279297,0.937768,0.945114,1
0.283203,0.925828,0.932038,1
0.287109,0.913863,0.919108,1
0.291016,0.901913,0.906322,1
0.294922,0.890006,0.893678,1
0.298828,0.878158,0.881176,1
0.302734,0.866383,0.868814,1
0.306641,0.85469,0.856591,1
0.310547,0.843086,0.844506,1
0.314453,0.831577,0.832558,1
0.318359,0.820167,0.820746,1
0.322266,0.808859,0.809068,1
0.326172,0.797656,0.797523,1
0.330078,0.786559,0.786111,1
0.333984,0.77557,0.77483,1
0.337891,0.764691,0.763678,1
0.341797,0.753922,0.752655,1
0.345703,0.743263,0.74176,1
0.349609,0.732717,0.730992,1
0.353516,0.722281,0.720348,1
0.357422,0.711958,0.70983,1
0.361328,0.701746,0.699434,1
0.365234,0.691646,0.689161,1
0.369141,0.681657,0.679008,1
0.373047,0.67178,0.668976,1
0.376953,0.662013,0.659062,1
0.380859,0.652357,0.649267,1
0.384766,0.642811,0.639588,1
0.388672,0.633373,0.630025,1
0.392578,0.624043,0.620577,1
0.396484,0.614819,0.611242,1
0.400391,0.605701,0.602021,1
0.404297,0.596688,0.59291,1
0.408203,0.587778,0.583911,1
0.412109,0.578969,0.575021,1
0.416016,0.570261,0.566239,1
0.419922,0.561651,0.557566,1
0.423828,0.553139,0.548998,1
0.427734,0.544722,0.540537,1
0.431641,0.536401,0.53218,1
0.435547,0.528173,0.523927,1
0.439453,0.520039,0.515777,1
0.443359,0.511999,0.507728,1
0.447266,0.504054,0.49978,1
0.451172,0.496204,0.491932,1
0.455078,0.488452,0.484183,1
0.458984,0.480803,0.476531,1
0.462891,0.473259,0.468977,1
0.466797,0.465831,0.461519,1
0.470703,0.458536,0.454156,1
0.474609,0.451414,0.446888,1
0.478516,0.444554,0.439713,1
0.482422,0.438159,0.43263,1
0.486328,0.43265,0.426319,1
0.490234,0.428695,0.426319,1
0.494141,0.426828,0.426319,1
0.498047,0.426448,0.426319,1
0.501953,0.426342,0.426319,1
0.505859,0.426204,0.426319,1
0.509766,0.426033,0.426319,1
0.513672,0.426041,0.426319,1
0.517578,0.426072,0.426319,1
0.521484,0.425979,0.426319,1
0.525391,0.42598,0.426319,1
0.529297,0.425979,0.426319,1
0.533203,0.426045,0.426319,1
0.537109,0.426121,0.426319,1
0.541016,0.42611,0.426319,1
0.544922,0.426083,0.426319,1
0.548828,0.426069,0.426319,1
0.552734,0.426094,0.426319,1
0.556641,0.426165,0.426319,1
0.560547,0.426233,0.426319,1
0.626953,0.42614,0.426319,1
0.630859,0.426074,0.426319,1
0.634766,0.4261,0.426319,1
0.638672,0.426165,0.426319,1
0.642578,0.426197,0.426319,1
0.646484,0.42619,0.426319,1
0.650391,0.426211,0.426319,1
0.654297,0.426323,0.426319,1
0.658203,0.426405,0.426319,1
0.662109,0.426414,0.426319,1
0.666016,0.425987,0.426319,1
0.669922,0.423632,0.426319,1
0.673828,0.415336,0.426319,1
0.677734,0.398468,0.426319,1
0.681641,0.372859,0.426319,1
0.685547,0.340664,0.265574,1
0.689453,0.306598,0.265574,1
0.693359,0.277735,0.265574,1
0.697266,0.263414,0.265574,1
0.701172,0.262122,0.265574,1
0.705078,0.26209,0.265574,1
0.708984,0.262221,0.265574,1
0.712891,0.262894,0.265574,1
0.716797,0.26398,0.265574,1
0.720703,0.265025,0.265574,1
0.724609,0.265612,0.265574,1
0.728516,0.265699,0.265574,1
0.732422,0.265697,0.265574,1
0.736328,0.265667,0.265574,1
0.740234,0.265626,0.265574,1
0.744141,0.265598,0.265574,1
0.748047,0.265604,0.265574,1
0.814453,0.265534,0.265574,1
0.818359,0.265583,0.265574,1
0.822266,0.265643,0.265574,1
0.826172,0.265708,0.265574,1
0.830078,0.265699,0.265574,1
0.833984,0.265665,0.265574,1
0.837891,0.265603,0.265574,1
0.841797,0.26538,0.265574,1
0.845703,0.262009,0.265574,1
0.849609,0.225094,0.265574,1
0.853516,0.146128,0.125,1
0.857422,0.125411,0.125,1
0.861328,0.125005,0.125,1
0.865234,0.125,0.125,1
0.869141,0.125,0.125,1
0.873047,0.125,0.125,1
0.876953,0.125,0.125,1
0.880859,0.125,0.125,1
0.884766,0.125,0.125,1
0.888672,0.125,0.125,1
0.892578,0.125,0.125,1
0.896484,0.125,0.125,1
0.900391,0.125,0.125,1
0.904297,0.125,0.125,1
0.908203,0.125,0.125,1
0.912109,0.125,0.125,1
0.916016,0.125,0.125,1
0.919922,0.125,0.125,1
0.923828,0.125,0.125,1
0.927734,0.125,0.125,1
0.931641,0.125,0.125,1
0.935547,0.125,0.125,1
